,JBA,USDJPY,ESA,XMA
2022-06-01 22:00:00,149.35,129.83,4125.75,96.455
2022-06-03 09:00:00,149.4,129.81,4181,96.385
2022-06-07 13:00:00,149.09,132.83,4096.5,96.38
2022-06-07 18:00:00,149.2,132.68,4104,96.415
2022-06-08 01:30:00,149.26,132.5,4136.5,96.42
2022-06-08 07:45:00,149.28,132.81,4149,96.38
2022-06-08 08:30:00,149.28,132.86,4156.5,96.38
2022-06-08 08:45:00,149.25,133.07,4155.75,96.385
2022-06-08 09:15:00,149.25,132.9,4155.5,96.385
2022-06-08 10:00:00,149.24,132.98,4158,96.4
2022-06-08 12:00:00,149.16,133.15,4144.5,96.395
2022-06-08 12:15:00,149.17,133.12,4147.75,96.39
2022-06-08 12:30:00,149.19,133.14,4146.75,96.385
2022-06-08 12:45:00,149.18,133.25,4142.25,96.385
2022-06-08 13:00:00,149.19,133.18,4148.5,96.39
2022-06-08 13:30:00,149.16,133.18,4150,96.39
2022-06-08 13:45:00,149.16,133.2,4149.75,96.385
2022-06-08 14:00:00,149.16,133.1,4147.75,96.375
2022-06-08 15:30:00,149.17,133.47,4145.25,96.378
2022-06-08 15:45:00,149.17,133.58,4142.75,96.37
2022-06-08 16:00:00,149.13,133.65,4142.75,96.37
2022-06-08 16:15:00,149.08,133.65,4145.75,96.365
2022-06-08 16:30:00,149.09,133.79,4147.25,96.363
2022-06-08 16:45:00,149.09,133.84,4146,96.368
2022-06-08 17:00:00,149.07,133.7,4143.75,96.365
2022-06-08 17:15:00,149.1,133.76,4143.25,96.371
2022-06-08 17:30:00,149.11,133.74,4146.75,96.363
2022-06-08 17:45:00,149.12,133.78,4145.5,96.366
2022-06-08 18:00:00,149.13,133.76,4139.75,96.376
2022-06-08 18:15:00,149.12,133.87,4140,96.378
2022-06-08 19:00:00,149.12,133.89,4150.5,96.375
2022-06-08 19:30:00,149.08,134,4151.5,96.372
2022-06-08 20:00:00,149.1,134.02,4148.75,96.376
2022-06-08 20:30:00,149.07,134.41,4143.75,96.357
2022-06-08 20:45:00,149.08,134.29,4141.25,96.365
2022-06-08 21:15:00,149.1,134.25,4142.25,96.361
2022-06-08 21:30:00,149.09,134.04,4140.5,96.36
2022-06-08 22:00:00,149.1,134.01,4138.5,96.345
2022-06-08 22:15:00,149.08,133.93,4147,96.36
2022-06-08 22:45:00,149.08,133.84,4145.5,96.364
2022-06-08 23:00:00,149.08,133.77,4153.25,96.364
2022-06-08 23:15:00,149.07,133.88,4156.5,96.367
2022-06-09 00:00:00,149.04,134.06,4153.75,96.356
2022-06-09 07:45:00,149.04,134.45,4120.75,96.328
2022-06-09 08:00:00,149.08,134.4,4117.75,96.325
2022-06-09 08:15:00,149.09,134.39,4118.5,96.339
2022-06-09 08:30:00,149.08,134.41,4111.25,96.34
2022-06-09 08:45:00,149.14,134.28,4111.25,96.339
2022-06-09 09:00:00,149.13,134.27,4112.5,96.342
2022-06-09 09:15:00,149.13,134.23,4108.75,96.335
2022-06-09 09:30:00,149.13,134.24,4105.75,96.334
2022-06-09 09:45:00,149.12,134.36,4106.75,96.329
2022-06-09 10:00:00,149.11,134.4,4110.5,96.329
2022-06-09 11:30:00,149.16,134.14,4112,96.326
2022-06-09 11:45:00,149.16,133.95,4114,96.325
2022-06-09 12:00:00,149.15,134.04,4114.25,96.335
2022-06-09 12:15:00,149.15,134.1,4114,96.332
2022-06-09 12:30:00,149.13,134.1,4113.5,96.33
2022-06-09 12:45:00,149.13,134.17,4113.25,96.334
2022-06-09 13:00:00,149.12,134.09,4115.5,96.33
2022-06-09 13:15:00,149.16,134.02,4115.75,96.325
2022-06-09 13:30:00,149.16,133.81,4109.75,96.322
2022-06-09 13:45:00,149.16,133.83,4105.75,96.324
2022-06-09 14:00:00,149.2,133.87,4108.75,96.329
2022-06-09 15:15:00,149.21,133.62,4118,96.326
2022-06-09 15:30:00,149.16,133.5,4112.25,96.333
2022-06-09 15:45:00,149.14,133.47,4116.5,96.332
2022-06-09 16:00:00,149.16,133.44,4112.75,96.33
2022-06-09 16:15:00,149.15,133.53,4115.75,96.332
2022-06-09 16:30:00,149.14,133.71,4121.5,96.321
2022-06-09 16:45:00,149.15,133.65,4132.5,96.315
